Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-noresattnresmlp-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 16 train 7.7091 , allloss: 92.5082, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.1863, dt: 1591.81ms, tok/sec: 82341.41, flops:32.68, batch-reuse:1
@ 17 train 7.7637 , allloss: 93.1651, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:10.0562, dt: 1593.54ms, tok/sec: 82252.26, flops:32.64, batch-reuse:1
@ 18 train 7.7733 , allloss: 93.2822, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.2742, dt: 1592.82ms, tok/sec: 82289.06, flops:32.66, batch-reuse:1
@ 19 train 7.6598 , allloss: 91.9159, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.3677, dt: 1594.12ms, tok/sec: 82222.34, flops:32.63, batch-reuse:1
@ 20 train 7.7757 , allloss: 93.3058, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.6307, dt: 1593.25ms, tok/sec: 82267.09, flops:32.65, batch-reuse:1
@ 21 train 7.7237 , allloss: 92.6785, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.3198, dt: 1593.89ms, tok/sec: 82234.08, flops:32.64, batch-reuse:1
@ 22 train 7.6867 , allloss: 92.2356, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.9586, dt: 1595.50ms, tok/sec: 82150.90, flops:32.60, batch-reuse:1
@ 23 train 7.9058 , allloss: 94.8679, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.8851, dt: 1595.26ms, tok/sec: 82163.35, flops:32.61, batch-reuse:1
@ 24 train 7.8584 , allloss: 94.2979, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.4504, dt: 1595.81ms, tok/sec: 82135.24, flops:32.60, batch-reuse:1
@ 25 train 7.6286 , allloss: 91.5410, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.0081, dt: 1595.83ms, tok/sec: 82134.31, flops:32.60, batch-reuse:1
