Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-plus-times
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, res + attn, res * mlp
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 16 train 7.9101 , allloss: 94.9424, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:23.7333, dt: 1623.44ms, tok/sec: 80737.09, flops:32.04, batch-reuse:1
@ 17 train 7.8553 , allloss: 94.2502, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:24.7185, dt: 1621.89ms, tok/sec: 80814.37, flops:32.07, batch-reuse:1
@ 18 train 7.8081 , allloss: 93.6678, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:22.2759, dt: 1620.07ms, tok/sec: 80905.12, flops:32.11, batch-reuse:1
@ 19 train 7.6569 , allloss: 91.9141, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:13.8701, dt: 1623.25ms, tok/sec: 80746.65, flops:32.05, batch-reuse:1
@ 20 train 7.7696 , allloss: 93.2455, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:19.4604, dt: 1621.19ms, tok/sec: 80849.40, flops:32.09, batch-reuse:1
@ 21 train 7.7289 , allloss: 92.7293, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:15.2988, dt: 1624.39ms, tok/sec: 80690.20, flops:32.02, batch-reuse:1
@ 22 train 7.6881 , allloss: 92.2972, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:11.5365, dt: 1623.91ms, tok/sec: 80713.78, flops:32.03, batch-reuse:1
@ 23 train 9.0001 , allloss: 99.0568, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:777.7899, dt: 1626.58ms, tok/sec: 80581.14, flops:31.98, batch-reuse:1
@ 24 train 8.3928 , allloss: 96.9690, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:370.9924, dt: 1627.42ms, tok/sec: 80539.94, flops:31.96, batch-reuse:1
@ 25 train 7.8663 , allloss: 93.6022, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:77.7455, dt: 1627.94ms, tok/sec: 80514.19, flops:31.95, batch-reuse:1
@ 26 train 7.8893 , allloss: 94.7175, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:37.2467, dt: 1626.57ms, tok/sec: 80581.72, flops:31.98, batch-reuse:1
@ 27 train 7.9221 , allloss: 94.4980, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:93.5889, dt: 1626.29ms, tok/sec: 80595.59, flops:31.99, batch-reuse:1
