Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-reswithln-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, x + attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 16 train 7.7322 , allloss: 92.7871, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.7170, dt: 1604.10ms, tok/sec: 81710.50, flops:32.43, batch-reuse:1
@ 17 train 7.7971 , allloss: 93.5838, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.3823, dt: 1601.03ms, tok/sec: 81867.37, flops:32.49, batch-reuse:1
@ 18 train 7.8159 , allloss: 93.7911, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.1193, dt: 1605.45ms, tok/sec: 81642.03, flops:32.40, batch-reuse:1
@ 19 train 7.7000 , allloss: 92.3978, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.2239, dt: 1605.82ms, tok/sec: 81623.06, flops:32.39, batch-reuse:1
@ 20 train 7.8238 , allloss: 93.8897, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.9462, dt: 1605.62ms, tok/sec: 81633.51, flops:32.40, batch-reuse:1
@ 21 train 7.7679 , allloss: 93.2125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.0455, dt: 1606.59ms, tok/sec: 81584.18, flops:32.38, batch-reuse:1
@ 22 train 7.7227 , allloss: 92.6696, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.4035, dt: 1607.08ms, tok/sec: 81558.92, flops:32.37, batch-reuse:1
@ 23 train 7.9399 , allloss: 95.2846, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.1837, dt: 1608.13ms, tok/sec: 81506.04, flops:32.35, batch-reuse:1
@ 24 train 7.8713 , allloss: 94.4561, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.1784, dt: 1603.48ms, tok/sec: 81742.41, flops:32.44, batch-reuse:1
@ 25 train 7.6363 , allloss: 91.6287, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.4475, dt: 1608.68ms, tok/sec: 81477.95, flops:32.34, batch-reuse:1
@ 26 train 7.7737 , allloss: 93.2844, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.0412, dt: 1605.92ms, tok/sec: 81618.23, flops:32.39, batch-reuse:1
