Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-timesplus-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, res * attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 16 train 7.7199 , allloss: 92.5062, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:13.5653, dt: 1608.05ms, tok/sec: 81509.79, flops:32.35, batch-reuse:1
@ 17 train 7.7500 , allloss: 92.8833, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.2382, dt: 1610.18ms, tok/sec: 81401.87, flops:32.31, batch-reuse:1
@ 18 train 7.7625 , allloss: 93.0207, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:11.1985, dt: 1609.04ms, tok/sec: 81459.80, flops:32.33, batch-reuse:1
@ 19 train 7.6584 , allloss: 91.7572, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.5899, dt: 1609.31ms, tok/sec: 81446.14, flops:32.32, batch-reuse:1
@ 20 train 7.7697 , allloss: 93.1250, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:10.0280, dt: 1610.49ms, tok/sec: 81386.66, flops:32.30, batch-reuse:1
@ 21 train 7.7219 , allloss: 92.5909, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.4254, dt: 1612.13ms, tok/sec: 81303.73, flops:32.27, batch-reuse:1
@ 22 train 7.7164 , allloss: 92.3469, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:27.2627, dt: 1609.87ms, tok/sec: 81417.77, flops:32.31, batch-reuse:1
@ 23 train 7.9186 , allloss: 94.9622, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.6276, dt: 1611.27ms, tok/sec: 81347.26, flops:32.28, batch-reuse:1
@ 24 train 7.9041 , allloss: 94.5001, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:30.2201, dt: 1613.64ms, tok/sec: 81227.70, flops:32.24, batch-reuse:1
@ 25 train 7.6649 , allloss: 91.7383, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:15.4534, dt: 1613.28ms, tok/sec: 81245.65, flops:32.24, batch-reuse:1
@ 26 train 7.7714 , allloss: 93.0674, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.1526, dt: 1613.86ms, tok/sec: 81216.49, flops:32.23, batch-reuse:1
@ 27 train 7.7512 , allloss: 92.7866, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.9373, dt: 1611.64ms, tok/sec: 81328.12, flops:32.28, batch-reuse:1
@ 28 train 7.7666 , allloss: 92.9289, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.1177, dt: 1613.34ms, tok/sec: 81242.74, flops:32.24, batch-reuse:1
@ 29 train 7.8298 , allloss: 93.7243, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:53.3117, dt: 1614.95ms, tok/sec: 81161.80, flops:32.21, batch-reuse:1
@ 30 train 7.7247 , allloss: 92.2736, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:12.2876, dt: 1614.31ms, tok/sec: 81193.93, flops:32.22, batch-reuse:1
@ 31 train 7.7725 , allloss: 92.9364, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.3359, dt: 1619.51ms, tok/sec: 80933.20, flops:32.12, batch-reuse:1
@ 32 train 8.2069 , allloss: 94.1797, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:174.3437, dt: 1627.26ms, tok/sec: 80547.86, flops:31.97, batch-reuse:1
