Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 7-debug-2
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, multiplication at MLP layer
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 16 train 8.0036 , allloss: 96.0632, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:34.5182, dt: 1612.67ms, tok/sec: 81276.29, flops:32.26, batch-reuse:1
@ 17 train 7.9094 , allloss: 94.9601, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:24.3473, dt: 1610.17ms, tok/sec: 81402.40, flops:32.31, batch-reuse:1
@ 18 train 7.8731 , allloss: 94.3730, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:30.2053, dt: 1607.77ms, tok/sec: 81524.31, flops:32.36, batch-reuse:1
@ 19 train 7.6814 , allloss: 92.1996, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:10.5123, dt: 1607.07ms, tok/sec: 81559.83, flops:32.37, batch-reuse:1
@ 20 train 7.7880 , allloss: 93.4194, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:28.6345, dt: 1610.01ms, tok/sec: 81410.55, flops:32.31, batch-reuse:1
@ 21 train 7.7400 , allloss: 92.8119, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:17.5406, dt: 1608.91ms, tok/sec: 81466.10, flops:32.33, batch-reuse:1
@ 22 train 7.7024 , allloss: 92.4217, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:13.5335, dt: 1611.07ms, tok/sec: 81357.16, flops:32.29, batch-reuse:1
@ 23 train 7.9333 , allloss: 95.1549, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:15.0089, dt: 1611.68ms, tok/sec: 81326.46, flops:32.28, batch-reuse:1
@ 24 train 7.8819 , allloss: 94.5986, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:16.6345, dt: 1610.68ms, tok/sec: 81376.77, flops:32.30, batch-reuse:1
@ 25 train 7.7116 , allloss: 92.1085, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:52.0345, dt: 1611.03ms, tok/sec: 81358.98, flops:32.29, batch-reuse:1
