Threshold: 0.1
Enable layer loss: False
total desired batch size: 131072
Mini-batch size: 16*1024
=> calculated gradient accumulation steps: 8
=> calculated gradient accumulation steps: 8
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 33 train 7.73004580 , allloss: 7.7300, lr:1.2000e-03, norm:0.4457, dt: 2624.69ms, tok/sec: 49938.12, flops:19.82, batch-reuse:1
@ 34 train 7.74317741 , allloss: 7.7432, lr:1.2000e-03, norm:0.4259, dt: 2623.49ms, tok/sec: 49961.00, flops:19.83, batch-reuse:1
@ 35 train 7.70487213 , allloss: 7.7049, lr:1.2000e-03, norm:0.5582, dt: 2623.36ms, tok/sec: 49963.42, flops:19.83, batch-reuse:1
@ 36 train 7.69136333 , allloss: 7.6914, lr:1.2000e-03, norm:0.6056, dt: 2623.67ms, tok/sec: 49957.52, flops:19.83, batch-reuse:1
@ 37 train 7.73919010 , allloss: 7.7392, lr:1.2000e-03, norm:0.4900, dt: 2624.71ms, tok/sec: 49937.71, flops:19.82, batch-reuse:1
@ 38 train 7.67385244 , allloss: 7.6739, lr:1.2000e-03, norm:0.6159, dt: 2627.68ms, tok/sec: 49881.36, flops:19.80, batch-reuse:1
@ 39 train 7.72267962 , allloss: 7.7227, lr:1.2000e-03, norm:0.2508, dt: 2627.96ms, tok/sec: 49875.93, flops:19.79, batch-reuse:1
@ 40 train 7.75445175 , allloss: 7.7545, lr:1.2000e-03, norm:0.3668, dt: 2627.52ms, tok/sec: 49884.32, flops:19.80, batch-reuse:1
@ 41 train 7.70387220 , allloss: 7.7039, lr:1.2000e-03, norm:0.3902, dt: 2628.12ms, tok/sec: 49872.90, flops:19.79, batch-reuse:1
@ 42 train 7.68037796 , allloss: 7.6804, lr:1.2000e-03, norm:0.5299, dt: 2628.13ms, tok/sec: 49872.64, flops:19.79, batch-reuse:1
@ 43 train 7.68885136 , allloss: 7.6889, lr:1.2000e-03, norm:0.3853, dt: 2629.34ms, tok/sec: 49849.70, flops:19.78, batch-reuse:1
@ 44 train 7.69600725 , allloss: 7.6960, lr:1.2000e-03, norm:0.5907, dt: 2630.12ms, tok/sec: 49835.05, flops:19.78, batch-reuse:1
@ 45 train 8.09194183 , allloss: 8.0919, lr:1.2000e-03, norm:3.5746, dt: 2630.14ms, tok/sec: 49834.52, flops:19.78, batch-reuse:1
@ 46 train 7.75485182 , allloss: 7.7549, lr:1.2000e-03, norm:1.9517, dt: 2628.49ms, tok/sec: 49865.81, flops:19.79, batch-reuse:1
@ 47 train 7.68867588 , allloss: 7.6887, lr:1.2000e-03, norm:1.8638, dt: 2628.83ms, tok/sec: 49859.42, flops:19.79, batch-reuse:1
@ 48 train 7.64990902 , allloss: 7.6499, lr:1.2000e-03, norm:1.1075, dt: 2626.68ms, tok/sec: 49900.22, flops:19.80, batch-reuse:1
@ 49 train 7.62854290 , allloss: 7.6285, lr:1.2000e-03, norm:0.5336, dt: 2627.41ms, tok/sec: 49886.40, flops:19.80, batch-reuse:1
Layer 0 Block_loss=-3.58984375
			 ([0.030661744996905327, 0.0180251095443964, 0.0180251095443964, 0.016412049531936646, 0.015907103195786476], ' the a., in')
Layer 10 Block_loss=-3.484375
			 ([0.03164374455809593, 0.019802151247859, 0.016416558995842934, 0.015421929769217968, 0.014487562701106071], ' the. a, of')
Layer 11 Block_loss=-3.484375
			 ([0.03164297714829445, 0.01980166882276535, 0.01641615852713585, 0.015421554446220398, 0.014487210661172867], ' the. a, of')
	Utilized all layers 11
@ 50 train 7.77023554 , allloss: 7.7702, lr:1.2000e-03, norm:1.1054, dt: 2667.99ms, tok/sec: 49127.62, flops:19.50, batch-reuse:1
@ 51 train 7.83036995 , allloss: 7.8304, lr:1.2000e-03, norm:1.1161, dt: 2627.49ms, tok/sec: 49884.93, flops:19.80, batch-reuse:1
@ 52 train 7.65924168 , allloss: 7.6592, lr:1.2000e-03, norm:1.0333, dt: 2628.10ms, tok/sec: 49873.38, flops:19.79, batch-reuse:1
@ 53 train 7.60188770 , allloss: 7.6019, lr:1.2000e-03, norm:0.8310, dt: 2626.19ms, tok/sec: 49909.58, flops:19.81, batch-reuse:1
@ 54 train 7.70400047 , allloss: 7.7040, lr:1.2000e-03, norm:0.7217, dt: 2627.19ms, tok/sec: 49890.60, flops:19.80, batch-reuse:1
@ 55 train 7.77447557 , allloss: 7.7745, lr:1.2000e-03, norm:0.9665, dt: 2628.52ms, tok/sec: 49865.25, flops:19.79, batch-reuse:1
@ 56 train 7.61025143 , allloss: 7.6103, lr:1.2000e-03, norm:0.8121, dt: 2627.68ms, tok/sec: 49881.35, flops:19.80, batch-reuse:1
@ 57 train 7.54139853 , allloss: 7.5414, lr:1.2000e-03, norm:0.7324, dt: 2627.57ms, tok/sec: 49883.33, flops:19.80, batch-reuse:1
@ 58 train 7.61834383 , allloss: 7.6183, lr:1.2000e-03, norm:0.5923, dt: 2628.65ms, tok/sec: 49862.94, flops:19.79, batch-reuse:1
@ 59 train 7.42181540 , allloss: 7.4218, lr:1.2000e-03, norm:0.6343, dt: 2628.11ms, tok/sec: 49873.14, flops:19.79, batch-reuse:1
@ 60 train 7.60588408 , allloss: 7.6059, lr:1.2000e-03, norm:0.5645, dt: 2626.36ms, tok/sec: 49906.43, flops:19.81, batch-reuse:1
@ 61 train 7.56566620 , allloss: 7.5657, lr:1.2000e-03, norm:0.9321, dt: 2628.34ms, tok/sec: 49868.68, flops:19.79, batch-reuse:1
@ 62 train 7.56285095 , allloss: 7.5629, lr:1.2000e-03, norm:1.0809, dt: 2627.29ms, tok/sec: 49888.62, flops:19.80, batch-reuse:1
@ 63 train 7.59204245 , allloss: 7.5920, lr:1.2000e-03, norm:0.4549, dt: 2628.11ms, tok/sec: 49873.09, flops:19.79, batch-reuse:1
@ 64 train 7.57719421 , allloss: 7.5772, lr:1.2000e-03, norm:0.5603, dt: 2628.84ms, tok/sec: 49859.16, flops:19.79, batch-reuse:1
@ 65 train 7.67893410 , allloss: 7.6789, lr:1.2000e-03, norm:0.6363, dt: 2628.13ms, tok/sec: 49872.79, flops:19.79, batch-reuse:1
@ 66 train 7.70777273 , allloss: 7.7078, lr:1.2000e-03, norm:0.6864, dt: 2629.46ms, tok/sec: 49847.50, flops:19.78, batch-reuse:1
@ 67 train 7.60082150 , allloss: 7.6008, lr:1.2000e-03, norm:0.7096, dt: 2630.48ms, tok/sec: 49828.19, flops:19.78, batch-reuse:1
@ 68 train 7.64719725 , allloss: 7.6472, lr:1.2000e-03, norm:0.4334, dt: 2627.90ms, tok/sec: 49877.12, flops:19.80, batch-reuse:1
@ 69 train 7.55862045 , allloss: 7.5586, lr:1.2000e-03, norm:0.3501, dt: 2629.69ms, tok/sec: 49843.15, flops:19.78, batch-reuse:1
@ 70 train 7.57691813 , allloss: 7.5769, lr:1.2000e-03, norm:0.5973, dt: 2630.01ms, tok/sec: 49837.11, flops:19.78, batch-reuse:1
@ 71 train 7.54801512 , allloss: 7.5480, lr:1.2000e-03, norm:0.7246, dt: 2631.65ms, tok/sec: 49806.06, flops:19.77, batch-reuse:1
@ 72 train 7.58248472 , allloss: 7.5825, lr:1.2000e-03, norm:0.4457, dt: 2628.17ms, tok/sec: 49871.90, flops:19.79, batch-reuse:1
@ 73 train 7.67494106 , allloss: 7.6749, lr:1.2000e-03, norm:0.4819, dt: 2629.51ms, tok/sec: 49846.50, flops:19.78, batch-reuse:1
@ 74 train 7.62534523 , allloss: 7.6253, lr:1.2000e-03, norm:0.3530, dt: 2630.90ms, tok/sec: 49820.24, flops:19.77, batch-reuse:1
@ 75 train 8.19784069 , allloss: 8.1978, lr:1.2000e-03, norm:0.8151, dt: 2633.89ms, tok/sec: 49763.65, flops:19.75, batch-reuse:1
@ 76 train 7.58721972 , allloss: 7.5872, lr:1.2000e-03, norm:0.7082, dt: 2630.13ms, tok/sec: 49834.88, flops:19.78, batch-reuse:1
@ 77 train 8.52306557 , allloss: 8.5231, lr:1.2000e-03, norm:1.3745, dt: 2628.37ms, tok/sec: 49868.10, flops:19.79, batch-reuse:1
@ 78 train 8.01060009 , allloss: 8.0106, lr:1.2000e-03, norm:0.9064, dt: 2630.93ms, tok/sec: 49819.66, flops:19.77, batch-reuse:1
@ 79 train 7.54432201 , allloss: 7.5443, lr:1.2000e-03, norm:0.5566, dt: 2633.84ms, tok/sec: 49764.62, flops:19.75, batch-reuse:1
@ 80 train 7.55945730 , allloss: 7.5595, lr:1.2000e-03, norm:0.7066, dt: 2631.12ms, tok/sec: 49815.97, flops:19.77, batch-reuse:1
@ 81 train 7.57760477 , allloss: 7.5776, lr:1.2000e-03, norm:0.8889, dt: 2632.07ms, tok/sec: 49797.99, flops:19.76, batch-reuse:1
@ 82 train 7.55821514 , allloss: 7.5582, lr:1.2000e-03, norm:0.8591, dt: 2631.71ms, tok/sec: 49804.92, flops:19.77, batch-reuse:1
@ 83 train 7.56838083 , allloss: 7.5684, lr:1.2000e-03, norm:0.9927, dt: 2630.47ms, tok/sec: 49828.45, flops:19.78, batch-reuse:1
@ 84 train 7.57725716 , allloss: 7.5773, lr:1.2000e-03, norm:0.7079, dt: 2634.01ms, tok/sec: 49761.33, flops:19.75, batch-reuse:1
@ 85 train 7.46438885 , allloss: 7.4644, lr:1.2000e-03, norm:0.4902, dt: 2632.59ms, tok/sec: 49788.17, flops:19.76, batch-reuse:1
@ 86 train 7.46533966 , allloss: 7.4653, lr:1.2000e-03, norm:1.0741, dt: 2632.38ms, tok/sec: 49792.25, flops:19.76, batch-reuse:1
@ 87 train 7.48729610 , allloss: 7.4873, lr:1.2000e-03, norm:0.7632, dt: 2633.60ms, tok/sec: 49769.20, flops:19.75, batch-reuse:1
@ 88 train 7.41895580 , allloss: 7.4190, lr:1.2000e-03, norm:0.5872, dt: 2634.46ms, tok/sec: 49752.88, flops:19.75, batch-reuse:1
@ 89 train 7.37679052 , allloss: 7.3768, lr:1.2000e-03, norm:0.7882, dt: 2633.05ms, tok/sec: 49779.58, flops:19.76, batch-reuse:1
@ 90 train 7.38748407 , allloss: 7.3875, lr:1.2000e-03, norm:0.7486, dt: 2631.76ms, tok/sec: 49803.87, flops:19.77, batch-reuse:1
@ 91 train 7.33063221 , allloss: 7.3306, lr:1.2000e-03, norm:0.4863, dt: 2632.17ms, tok/sec: 49796.16, flops:19.76, batch-reuse:1
@ 92 train 7.30606651 , allloss: 7.3061, lr:1.2000e-03, norm:0.6061, dt: 2637.11ms, tok/sec: 49702.89, flops:19.73, batch-reuse:1
@ 93 train 7.28700733 , allloss: 7.2870, lr:1.2000e-03, norm:0.6641, dt: 2635.55ms, tok/sec: 49732.26, flops:19.74, batch-reuse:1
@ 94 train 7.51591969 , allloss: 7.5159, lr:1.2000e-03, norm:0.9783, dt: 2636.06ms, tok/sec: 49722.61, flops:19.73, batch-reuse:1
@ 95 train 7.26253510 , allloss: 7.2625, lr:1.2000e-03, norm:0.6426, dt: 2634.93ms, tok/sec: 49743.93, flops:19.74, batch-reuse:1
@ 96 train 7.15458584 , allloss: 7.1546, lr:1.2000e-03, norm:0.5486, dt: 2635.49ms, tok/sec: 49733.47, flops:19.74, batch-reuse:1
@ 97 train 7.20058823 , allloss: 7.2006, lr:1.2000e-03, norm:0.4808, dt: 2635.53ms, tok/sec: 49732.75, flops:19.74, batch-reuse:1
@ 98 train 7.22645998 , allloss: 7.2265, lr:1.2000e-03, norm:0.6415, dt: 2634.93ms, tok/sec: 49744.03, flops:19.74, batch-reuse:1
@ 99 train 7.17304182 , allloss: 7.1730, lr:1.2000e-03, norm:0.5895, dt: 2635.76ms, tok/sec: 49728.26, flops:19.74, batch-reuse:1
@ 100 train 7.18024063 , allloss: 7.1802, lr:1.2000e-03, norm:0.5514, dt: 2636.33ms, tok/sec: 49717.63, flops:19.73, batch-reuse:1
@ 101 train 7.05633211 , allloss: 7.0563, lr:1.2000e-03, norm:0.6159, dt: 2634.28ms, tok/sec: 49756.28, flops:19.75, batch-reuse:1
@ 102 train 7.10327530 , allloss: 7.1033, lr:1.2000e-03, norm:0.3970, dt: 2636.12ms, tok/sec: 49721.50, flops:19.73, batch-reuse:1
@ 103 train 7.11606693 , allloss: 7.1161, lr:1.2000e-03, norm:0.4418, dt: 2635.11ms, tok/sec: 49740.71, flops:19.74, batch-reuse:1
@ 104 train 7.18783665 , allloss: 7.1878, lr:1.2000e-03, norm:0.4459, dt: 2634.61ms, tok/sec: 49750.04, flops:19.74, batch-reuse:1
@ 105 train 7.17114592 , allloss: 7.1711, lr:1.2000e-03, norm:0.4269, dt: 2633.47ms, tok/sec: 49771.55, flops:19.75, batch-reuse:1
@ 106 train 7.09012794 , allloss: 7.0901, lr:1.2000e-03, norm:0.3810, dt: 2633.43ms, tok/sec: 49772.30, flops:19.75, batch-reuse:1
@ 107 train 7.08590698 , allloss: 7.0859, lr:1.2000e-03, norm:0.4102, dt: 2636.29ms, tok/sec: 49718.36, flops:19.73, batch-reuse:1
@ 108 train 7.06005383 , allloss: 7.0601, lr:1.2000e-03, norm:0.4264, dt: 2635.61ms, tok/sec: 49731.15, flops:19.74, batch-reuse:1
@ 109 train 7.03289843 , allloss: 7.0329, lr:1.2000e-03, norm:0.3941, dt: 2634.74ms, tok/sec: 49747.68, flops:19.74, batch-reuse:1
