Threshold: 0.1
Enable layer loss: False
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 54, with 131,432,448 parameters
num non-decayed parameter tensors: 106, with 131,328 parameters
@ 16 train 7.6253 , allloss: 7.6253, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.7388, dt: 479.18ms, tok/sec: 273532.54, flops:251.50, batch-reuse:1
@ 17 train 7.8105 , allloss: 7.8105, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.6503, dt: 480.65ms, tok/sec: 272695.12, flops:250.73, batch-reuse:1
@ 18 train 7.7025 , allloss: 7.7025, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.8857, dt: 479.44ms, tok/sec: 273385.09, flops:251.37, batch-reuse:1
@ 19 train 7.5860 , allloss: 7.5860, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:1.0111, dt: 478.49ms, tok/sec: 273930.93, flops:251.87, batch-reuse:1
@ 20 train 7.6848 , allloss: 7.6848, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.8079, dt: 479.37ms, tok/sec: 273423.30, flops:251.40, batch-reuse:1
@ 21 train 7.6041 , allloss: 7.6041, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.6979, dt: 479.53ms, tok/sec: 273336.43, flops:251.32, batch-reuse:1
@ 22 train 7.5586 , allloss: 7.5586, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.8304, dt: 480.64ms, tok/sec: 272702.02, flops:250.74, batch-reuse:1
@ 23 train 7.7505 , allloss: 7.7505, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5654, dt: 482.45ms, tok/sec: 271681.44, flops:249.80, batch-reuse:1
@ 24 train 7.7141 , allloss: 7.7141, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.7038, dt: 482.70ms, tok/sec: 271536.65, flops:249.67, batch-reuse:1
@ 25 train 7.4518 , allloss: 7.4518, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.6547, dt: 483.14ms, tok/sec: 271292.91, flops:249.44, batch-reuse:1
@ 26 train 7.5583 , allloss: 7.5583, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5527, dt: 484.74ms, tok/sec: 270395.43, flops:248.62, batch-reuse:1
@ 27 train 7.5250 , allloss: 7.5250, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.6628, dt: 482.62ms, tok/sec: 271584.00, flops:249.71, batch-reuse:1
@ 28 train 7.5337 , allloss: 7.5337, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5517, dt: 482.61ms, tok/sec: 271588.70, flops:249.71, batch-reuse:1
@ 29 train 7.5810 , allloss: 7.5810, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.4156, dt: 484.84ms, tok/sec: 270339.45, flops:248.57, batch-reuse:1
