@ 45 train 7.15640974, lr:6.0000e-04, norm:0.5030, dt: 437.88ms, tok/sec: 299330.84, flops:227.48, batch-reuse:1
@ 46 train 7.17599583, lr:6.0000e-04, norm:0.4889, dt: 439.70ms, tok/sec: 298096.33, flops:226.54, batch-reuse:1
@ 47 train 7.11319447, lr:6.0000e-04, norm:0.3797, dt: 439.59ms, tok/sec: 298165.85, flops:226.59, batch-reuse:1
@ 48 train 7.10594273, lr:6.0000e-04, norm:0.5324, dt: 441.04ms, tok/sec: 297186.35, flops:225.85, batch-reuse:1
@ 49 train 7.11762953, lr:6.0000e-04, norm:0.6360, dt: 440.12ms, tok/sec: 297811.80, flops:226.32, batch-reuse:1
@ 50 val 7.1092
50 hellaswag 0.2462
@ 50 train 7.20926952, lr:6.0000e-04, norm:0.5008, dt: 58121.54ms, tok/sec: 2255.14, flops:1.71, batch-reuse:1
@ 51 train 7.25900269, lr:6.0000e-04, norm:0.5099, dt: 441.18ms, tok/sec: 297092.24, flops:225.77, batch-reuse:1
@ 52 train 7.07108688, lr:6.0000e-04, norm:0.4337, dt: 439.93ms, tok/sec: 297935.75, flops:226.42, batch-reuse:1
@ 53 train 7.02159977, lr:6.0000e-04, norm:0.4560, dt: 440.24ms, tok/sec: 297725.83, flops:226.26, batch-reuse:1
@ 54 train 7.12531233, lr:6.0000e-04, norm:0.4271, dt: 440.14ms, tok/sec: 297797.60, flops:226.31, batch-reuse:1
@ 55 train 7.21120119, lr:6.0000e-04, norm:0.6964, dt: 439.54ms, tok/sec: 298201.92, flops:226.62, batch-reuse:1
@ 56 train 7.00926447, lr:6.0000e-04, norm:0.5622, dt: 441.33ms, tok/sec: 296991.60, flops:225.70, batch-reuse:1
@ 57 train 6.94384336, lr:6.0000e-04, norm:0.5761, dt: 437.37ms, tok/sec: 299679.21, flops:227.74, batch-reuse:1
@ 58 train 6.99638319, lr:6.0000e-04, norm:0.4709, dt: 438.61ms, tok/sec: 298838.15, flops:227.10, batch-reuse:1
@ 59 train 6.81345749, lr:6.0000e-04, norm:0.5992, dt: 437.30ms, tok/sec: 299727.73, flops:227.78, batch-reuse:1
@ 60 train 6.98687172, lr:6.0000e-04, norm:0.5278, dt: 439.36ms, tok/sec: 298322.15, flops:226.71, batch-reuse:1
@ 61 train 6.92968178, lr:6.0000e-04, norm:0.4479, dt: 440.69ms, tok/sec: 297422.86, flops:226.03, batch-reuse:1
@ 62 train 6.99071217, lr:6.0000e-04, norm:0.9739, dt: 441.63ms, tok/sec: 296788.78, flops:225.54, batch-reuse:1
@ 63 train 6.94929647, lr:6.0000e-04, norm:0.5883, dt: 440.44ms, tok/sec: 297589.97, flops:226.15, batch-reuse:1
@ 64 train 6.91321564, lr:6.0000e-04, norm:0.5016, dt: 439.13ms, tok/sec: 298482.18, flops:226.83, batch-reuse:1
@ 65 train 7.01400709, lr:6.0000e-04, norm:0.5350, dt: 440.40ms, tok/sec: 297620.10, flops:226.18, batch-reuse:1
@ 66 train 7.04162550, lr:6.0000e-04, norm:0.5627, dt: 440.80ms, tok/sec: 297353.36, flops:225.97, batch-reuse:1
@ 67 train 6.93897486, lr:6.0000e-04, norm:0.5583, dt: 438.44ms, tok/sec: 298953.86, flops:227.19, batch-reuse:1
@ 68 train 6.98248148, lr:6.0000e-04, norm:0.4989, dt: 436.11ms, tok/sec: 300549.49, flops:228.40, batch-reuse:1
@ 69 train 6.87619591, lr:6.0000e-04, norm:0.5283, dt: 436.79ms, tok/sec: 300078.01, flops:228.04, batch-reuse:1
@ 70 train 6.89187622, lr:6.0000e-04, norm:0.4232, dt: 436.02ms, tok/sec: 300609.15, flops:228.45, batch-reuse:1
@ 71 train 6.85032749, lr:6.0000e-04, norm:0.4457, dt: 438.37ms, tok/sec: 299000.68, flops:227.23, batch-reuse:1
@ 72 train 6.90840435, lr:6.0000e-04, norm:0.5272, dt: 440.32ms, tok/sec: 297672.15, flops:226.22, batch-reuse:1
@ 73 train 7.01032543, lr:6.0000e-04, norm:0.4950, dt: 438.86ms, tok/sec: 298667.36, flops:226.97, batch-reuse:1
@ 74 train 6.92008877, lr:6.0000e-04, norm:0.5151, dt: 436.99ms, tok/sec: 299942.77, flops:227.94, batch-reuse:1
@ 75 train 7.53478432, lr:6.0000e-04, norm:0.8584, dt: 436.47ms, tok/sec: 300299.95, flops:228.21, batch-reuse:1
@ 76 train 6.90501356, lr:6.0000e-04, norm:0.8450, dt: 436.87ms, tok/sec: 300025.11, flops:228.00, batch-reuse:1
@ 77 train 7.68311930, lr:6.0000e-04, norm:1.6645, dt: 436.96ms, tok/sec: 299965.20, flops:227.96, batch-reuse:1
@ 78 train 7.17392302, lr:6.0000e-04, norm:1.1909, dt: 437.60ms, tok/sec: 299523.44, flops:227.62, batch-reuse:1
@ 79 train 6.93737078, lr:6.0000e-04, norm:1.5219, dt: 437.27ms, tok/sec: 299751.92, flops:227.80, batch-reuse:1
@ 80 train 6.91030836, lr:6.0000e-04, norm:0.8576, dt: 436.81ms, tok/sec: 300067.36, flops:228.04, batch-reuse:1
@ 81 train 6.96464300, lr:6.0000e-04, norm:1.1601, dt: 434.06ms, tok/sec: 301970.72, flops:229.48, batch-reuse:1
@ 82 train 6.91523409, lr:6.0000e-04, norm:0.9124, dt: 434.50ms, tok/sec: 301661.86, flops:229.25, batch-reuse:1
@ 83 train 6.87600374, lr:6.0000e-04, norm:0.7245, dt: 434.58ms, tok/sec: 301603.27, flops:229.20, batch-reuse:1
@ 84 train 6.91133070, lr:6.0000e-04, norm:0.6533, dt: 437.43ms, tok/sec: 299641.31, flops:227.71, batch-reuse:1
@ 85 train 6.87178898, lr:6.0000e-04, norm:0.7776, dt: 440.68ms, tok/sec: 297428.97, flops:226.03, batch-reuse:1
@ 86 train 6.82293367, lr:6.0000e-04, norm:0.6918, dt: 440.79ms, tok/sec: 297358.51, flops:225.98, batch-reuse:1
@ 87 train 6.89014196, lr:6.0000e-04, norm:0.7747, dt: 441.17ms, tok/sec: 297099.78, flops:225.78, batch-reuse:1
@ 88 train 6.82770491, lr:6.0000e-04, norm:0.5445, dt: 440.92ms, tok/sec: 297272.16, flops:225.91, batch-reuse:1
@ 89 train 6.79590654, lr:6.0000e-04, norm:0.7644, dt: 440.03ms, tok/sec: 297870.05, flops:226.37, batch-reuse:1
@ 90 train 6.79490185, lr:6.0000e-04, norm:0.7244, dt: 440.35ms, tok/sec: 297652.97, flops:226.20, batch-reuse:1
@ 91 train 6.78571320, lr:6.0000e-04, norm:0.5540, dt: 437.38ms, tok/sec: 299677.90, flops:227.74, batch-reuse:1
@ 92 train 6.75652981, lr:6.0000e-04, norm:0.5398, dt: 438.81ms, tok/sec: 298697.54, flops:226.99, batch-reuse:1
@ 93 train 6.74966717, lr:6.0000e-04, norm:0.5212, dt: 436.91ms, tok/sec: 299994.50, flops:227.98, batch-reuse:1
@ 94 train 7.03413582, lr:6.0000e-04, norm:0.7826, dt: 440.14ms, tok/sec: 297795.02, flops:226.31, batch-reuse:1
@ 95 train 6.75869989, lr:6.0000e-04, norm:0.6613, dt: 440.47ms, tok/sec: 297575.32, flops:226.14, batch-reuse:1
@ 96 train 6.65298843, lr:6.0000e-04, norm:0.6927, dt: 440.73ms, tok/sec: 297394.38, flops:226.00, batch-reuse:1
@ 97 train 6.71215391, lr:6.0000e-04, norm:0.5184, dt: 440.79ms, tok/sec: 297355.93, flops:225.98, batch-reuse:1
@ 98 train 6.76944256, lr:6.0000e-04, norm:0.6164, dt: 439.88ms, tok/sec: 297974.67, flops:226.45, batch-reuse:1
@ 99 train 6.67524195, lr:6.0000e-04, norm:0.6326, dt: 439.38ms, tok/sec: 298308.07, flops:226.70, batch-reuse:1
@ 100 train 6.68969345, lr:6.0000e-04, norm:0.5546, dt: 438.21ms, tok/sec: 299107.89, flops:227.31, batch-reuse:1
@ 101 train 6.55443573, lr:6.0000e-04, norm:0.4240, dt: 437.03ms, tok/sec: 299917.41, flops:227.92, batch-reuse:1
@ 102 train 6.63262224, lr:6.0000e-04, norm:0.4893, dt: 439.45ms, tok/sec: 298263.40, flops:226.66, batch-reuse:1
@ 103 train 6.62819529, lr:6.0000e-04, norm:0.4291, dt: 439.89ms, tok/sec: 297966.27, flops:226.44, batch-reuse:1
@ 104 train 6.72024775, lr:6.0000e-04, norm:0.5012, dt: 438.09ms, tok/sec: 299187.49, flops:227.37, batch-reuse:1
@ 105 train 6.68697071, lr:6.0000e-04, norm:0.4022, dt: 440.54ms, tok/sec: 297527.32, flops:226.11, batch-reuse:1
@ 106 train 6.57996130, lr:6.0000e-04, norm:0.3278, dt: 441.11ms, tok/sec: 297140.73, flops:225.81, batch-reuse:1
@ 107 train 6.60534143, lr:6.0000e-04, norm:0.4560, dt: 440.26ms, tok/sec: 297718.26, flops:226.25, batch-reuse:1
@ 108 train 6.57101965, lr:6.0000e-04, norm:0.3469, dt: 443.20ms, tok/sec: 295741.59, flops:224.75, batch-reuse:1
@ 109 train 6.56944180, lr:6.0000e-04, norm:0.3116, dt: 441.39ms, tok/sec: 296951.66, flops:225.67, batch-reuse:1
@ 110 train 6.57941961, lr:6.0000e-04, norm:0.3418, dt: 437.79ms, tok/sec: 299391.48, flops:227.52, batch-reuse:1
@ 111 train 6.58855200, lr:6.0000e-04, norm:0.3004, dt: 438.48ms, tok/sec: 298924.92, flops:227.17, batch-reuse:1
@ 112 train 6.60090542, lr:6.0000e-04, norm:0.3130, dt: 441.04ms, tok/sec: 297186.83, flops:225.85, batch-reuse:1
@ 113 train 6.56759739, lr:6.0000e-04, norm:0.3155, dt: 440.22ms, tok/sec: 297742.12, flops:226.27, batch-reuse:1
@ 114 train 6.57404566, lr:6.0000e-04, norm:0.4113, dt: 439.04ms, tok/sec: 298539.55, flops:226.87, batch-reuse:1
@ 115 train 6.50331879, lr:6.0000e-04, norm:0.4422, dt: 440.01ms, tok/sec: 297886.51, flops:226.38, batch-reuse:1
@ 116 train 6.48662663, lr:6.0000e-04, norm:0.3808, dt: 441.24ms, tok/sec: 297056.44, flops:225.75, batch-reuse:1
@ 117 train 6.51001263, lr:6.0000e-04, norm:0.4268, dt: 438.77ms, tok/sec: 298724.16, flops:227.01, batch-reuse:1
@ 118 train 6.52032661, lr:6.0000e-04, norm:0.3983, dt: 437.84ms, tok/sec: 299360.18, flops:227.50, batch-reuse:1
@ 119 train 6.47069407, lr:6.0000e-04, norm:0.4739, dt: 438.75ms, tok/sec: 298739.74, flops:227.03, batch-reuse:1
@ 120 train 6.61446810, lr:6.0000e-04, norm:0.3761, dt: 438.84ms, tok/sec: 298675.31, flops:226.98, batch-reuse:1
@ 121 train 6.68597555, lr:6.0000e-04, norm:0.5086, dt: 440.04ms, tok/sec: 297864.88, flops:226.36, batch-reuse:1
@ 122 train 6.64962435, lr:6.0000e-04, norm:0.5299, dt: 439.92ms, tok/sec: 297943.18, flops:226.42, batch-reuse:1
@ 123 train 6.51586437, lr:6.0000e-04, norm:0.3471, dt: 435.78ms, tok/sec: 300777.40, flops:228.58, batch-reuse:1
@ 124 train 6.55045795, lr:6.0000e-04, norm:0.3636, dt: 439.18ms, tok/sec: 298447.82, flops:226.80, batch-reuse:1
@ 125 train 6.57898808, lr:6.0000e-04, norm:0.4462, dt: 437.20ms, tok/sec: 299798.67, flops:227.83, batch-reuse:1
@ 126 train 6.57801867, lr:6.0000e-04, norm:0.4760, dt: 438.60ms, tok/sec: 298840.59, flops:227.10, batch-reuse:1
@ 127 train 6.48365450, lr:6.0000e-04, norm:0.3857, dt: 438.64ms, tok/sec: 298812.81, flops:227.08, batch-reuse:1
@ 128 train 6.45347214, lr:6.0000e-04, norm:0.4051, dt: 439.02ms, tok/sec: 298555.93, flops:226.89, batch-reuse:1
@ 129 train 6.59243441, lr:6.0000e-04, norm:0.5367, dt: 437.47ms, tok/sec: 299610.78, flops:227.69, batch-reuse:1
@ 130 train 6.56979418, lr:6.0000e-04, norm:0.4067, dt: 439.17ms, tok/sec: 298456.41, flops:226.81, batch-reuse:1
