Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-everylayer-nores
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, multiplication only on MLP, no-res on attn
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 16 train 7.7939 , allloss: 93.5256, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:21.4773, dt: 1596.24ms, tok/sec: 82113.11, flops:32.59, batch-reuse:1
@ 17 train 7.7582 , allloss: 93.1032, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:11.0260, dt: 1596.76ms, tok/sec: 82086.41, flops:32.58, batch-reuse:1
@ 18 train 7.7450 , allloss: 92.9376, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.5103, dt: 1597.71ms, tok/sec: 82037.34, flops:32.56, batch-reuse:1
@ 19 train 7.6346 , allloss: 91.6147, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:12.2246, dt: 1597.01ms, tok/sec: 82073.54, flops:32.57, batch-reuse:1
@ 20 train 7.7646 , allloss: 93.1762, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.6351, dt: 1598.98ms, tok/sec: 81972.44, flops:32.53, batch-reuse:1
@ 21 train 7.7313 , allloss: 92.7701, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.0830, dt: 1598.92ms, tok/sec: 81975.18, flops:32.53, batch-reuse:1
@ 22 train 7.6981 , allloss: 92.3681, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.9274, dt: 1599.16ms, tok/sec: 81963.08, flops:32.53, batch-reuse:1
@ 23 train 7.9131 , allloss: 94.9623, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.2397, dt: 1601.75ms, tok/sec: 81830.59, flops:32.48, batch-reuse:1
@ 24 train 7.8649 , allloss: 94.3718, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.3534, dt: 1598.86ms, tok/sec: 81978.35, flops:32.54, batch-reuse:1
@ 25 train 7.6314 , allloss: 91.5682, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.3491, dt: 1597.81ms, tok/sec: 82032.35, flops:32.56, batch-reuse:1
@ 26 train 7.7619 , allloss: 93.1349, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.8982, dt: 1600.45ms, tok/sec: 81896.85, flops:32.50, batch-reuse:1
@ 27 train 7.7407 , allloss: 92.8780, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.4163, dt: 1599.17ms, tok/sec: 81962.48, flops:32.53, batch-reuse:1
